Species,Genus,Family
Vapseptimavirus VAP7,Vapseptimavirus,Ackermannviridae
Hohrdovirus pedovivens,Hohrdovirus,Steitzviridae
Taipeivirus UPM2146,Taipeivirus,Ackermannviridae
Stehnavirus chorenecus,Stehnavirus,Steitzviridae
Emilia yellow vein virus-associated DNA beta,Betasatellite,Tolecusatellitidae
White clover mottle virus,Polerovirus,Solemoviridae
Opuntia virus 1,Opunvirus,Geminiviridae
Mucrahivirus geohabitans,Mucrahivirus,Fiersviridae
Tombusvirus limonii,Tombusvirus,Tombusviridae
Nyavirus sanjacintoense,Nyavirus,Nyamiviridae
Lyssavirus irkut,Lyssavirus,Rhabdoviridae
Epsilontectivirus toil,Epsilontectivirus,Tectiviridae
Amdoparvovirus carnivoran3,Amdoparvovirus,Parvoviridae
Bathrivirus terrenecus,Bathrivirus,Fiersviridae
Sripuvirus cuiaba,Sripuvirus,Rhabdoviridae
Henipavirus mojiangense,Henipavirus,Paramyxoviridae
Tomato yellow leaf curl Rajasthan betasatellite,Betasatellite,Tolecusatellitidae
Charybdivirus charybdis,Charybdivirus,Natareviridae
Berhavirus sipunculi,Berhavirus,Nyamiviridae
Curvularia orthocurvulavirus 1,Orthocurvulavirus,Curvulaviridae
Tequintavirus BF23,Tequintavirus,Demerecviridae
Chlamydia phage 4,Chlamydiamicrovirus,Microviridae
Lymphocryptovirus macacinegamma4,Lymphocryptovirus,Orthoherpesviridae
Bifseptvirus andromeda,Bifseptvirus,Autographiviridae
Avihepatovirus A,Avihepatovirus,Picornaviridae
Atuphduovirus atuph03,Atuphduovirus,Autographiviridae
Rogunavirus KP26,Rogunavirus,Drexlerviridae
Cyclovirus aasiak,Cyclovirus,Circoviridae
Ostreococcus tauri virus OtV5,Prasinovirus,Phycodnaviridae
Waikavirus trifolii,Waikavirus,Secoviridae
Yushanvirus Spp001,Yushanvirus,Chaseviridae
Human immunodeficiency virus 1,Lentivirus,Retroviridae
Paadamvirus RHEph01,Paadamvirus,Autographiviridae
Stralarivirus fragariae,Stralarivirus,Secoviridae
Streptococcus phage CHPC1041,Moineauvirus,Aliceevansviridae
Phlebovirus duraniaense,Phlebovirus,Phenuiviridae
Porprismacovirus bovas1,Porprismacovirus,Smacoviridae
Betabaculovirus adoranae,Betabaculovirus,Baculoviridae
Tomato planta macho viroid,Pospiviroid,Pospiviroidae
Tomato interveinal chlorosis virus,Begomovirus,Geminiviridae
Pectobacterium phage Possum,Cbunavirus,Schitoviridae
Paopuvirus noelani,Paopuvirus,Orlajensenviridae
Kadipiro virus,Seadornavirus,Sedoreoviridae
Unuamitovirus opno6,Unuamitovirus,Mitoviridae
Warwickvirus SECphi27,Warwickvirus,Drexlerviridae
Chifec virus UA15_2320,Cyclovirus,Circoviridae
Cherry chlorotic rusty spot associated partitivirus,Alphapartitivirus,Partitiviridae
Sclerotinia sclerotiorum betaendornavirus 1,Betaendornavirus,Endornaviridae
Tomato leaf curl Kumasi virus,Begomovirus,Geminiviridae
Grusopivirus B,Grusopivirus,Picornaviridae
Nitunavirus grass,Nitunavirus,Herelleviridae
Bundooravirus whyphy,Bundooravirus,Salasmaviridae
Foxborovirus GTE8,Foxborovirus,Zierdtviridae
Gemykibivirus sewopo1,Gemykibivirus,Genomoviridae
Tomato leaf curl Ranchi virus,Begomovirus,Geminiviridae
Karamvirus cc31,Karamvirus,Straboviridae
Ollusvirus hymenopteri,Ollusvirus,Aliusviridae
Peanut stunt virus,Cucumovirus,Bromoviridae
Irtavirus F108,Irtavirus,Peduoviridae
Tomato leaf curl Malaysia virus,Begomovirus,Geminiviridae
Etatorquevirus felid5,Etatorquevirus,Anelloviridae
Ustilaginoidea virens RNA virus 5,Victorivirus,Totiviridae
Lilac ring mottle virus,Ilarvirus,Bromoviridae
Chickpea yellow dwarf virus,Mastrevirus,Geminiviridae
Pacific coast tick phlebovirus,Phlebovirus,Phenuiviridae
Pefuambidensovirus blattodean1,Pefuambidensovirus,Parvoviridae
Sulfolobus spindle-shaped virus 6,Betafusellovirus,Fuselloviridae
Rocahepevirus ratti,Rocahepevirus,Hepeviridae
Huchismacovirus chicas1,Huchismacovirus,Smacoviridae
Orthohantavirus sinnombreense,Orthohantavirus,Hantaviridae
Teseptimavirus ebrios,Teseptimavirus,Autographiviridae
Limnipivirus A,Limnipivirus,Picornaviridae
Dyoiotapapillomavirus 2,Dyoiotapapillomavirus,Papillomaviridae
Alphanucleorhabdovirus morogoromaydis,Alphanucleorhabdovirus,Rhabdoviridae
Teseptimavirus NCA,Teseptimavirus,Autographiviridae
Orthodiscovirus hispaniae,Orthodiscovirus,Discoviridae
Norway rat pestivirus,Pestivirus,Flaviviridae
Oryza sativa alphaendornavirus,Alphaendornavirus,Endornaviridae
Army ant associated cyclovirus 3,Cyclovirus,Circoviridae
Cytorhabdovirus colocasiae,Cytorhabdovirus,Rhabdoviridae
Warwickvirus atuna,Warwickvirus,Drexlerviridae
Waikavirus actinidiae,Waikavirus,Secoviridae
Mobatvirus laibinense,Mobatvirus,Hantaviridae
Phimunavirus peat1,Phimunavirus,Autographiviridae
Mimosa yellow leaf curl virus satellite DNA beta,Betasatellite,Tolecusatellitidae
Shuangao insect virus 8,Sopolycivirus,Polycipiviridae
Gemycircularvirus austro1,Gemycircularvirus,Genomoviridae
Norwalk virus,Norovirus,Caliciviridae
Orthobornavirus betapsittaciforme,Orthobornavirus,Bornaviridae
Bracoviriform demolitoris,Bracoviriform,Polydnaviriformidae
Tsecebavirus borborovicinum,Tsecebavirus,Atkinsviridae
Cbunavirus CB1,Cbunavirus,Schitoviridae
Streptococcus phage CHPC979,Moineauvirus,Aliceevansviridae
Gredihovirus chorovicinum,Gredihovirus,Steitzviridae
Hongcheonvirus DUPPV,Hongcheonvirus,Demerecviridae
Eggplant latent viroid,Elaviroid,Avsunviroidae
Streptococcus phage CHPC877,Moineauvirus,Aliceevansviridae
Phimunavirus koot,Phimunavirus,Autographiviridae
Xipapillomavirus 5,Xipapillomavirus,Papillomaviridae
Cotton leaf curl virus,Begomovirus,Geminiviridae
Sclerotinia sclerotiorum hypovirus 1,Hypovirus,Hypoviridae
Taupapillomavirus 3,Taupapillomavirus,Papillomaviridae
Gammapapillomavirus 18,Gammapapillomavirus,Papillomaviridae
Alphabaculovirus alteragsegetum,Alphabaculovirus,Baculoviridae
Cyclovirus taniilai,Cyclovirus,Circoviridae
Daphne mosaic virus,Potyvirus,Potyviridae
Army ant associated cyclovirus 5,Cyclovirus,Circoviridae
Phlebovirus salangaense,Phlebovirus,Phenuiviridae
Brevihamaparvovirus dipteran1,Brevihamaparvovirus,Parvoviridae
Efbeekayvirus Fbkp27,Efbeekayvirus,Schitoviridae
Orthobunyavirus guamaense,Orthobunyavirus,Peribunyaviridae
robinz virus RP_1170,Cyclovirus,Circoviridae
Copiparvovirus ungulate5,Copiparvovirus,Parvoviridae
Alphatrevirus NC28,Alphatrevirus,Microviridae
Niuhvovirus limivivens,Niuhvovirus,Fiersviridae
Triamitovirus rhso30,Triamitovirus,Mitoviridae
Enchivirus Enc34,Enchivirus,Casjensviridae
Intasivirus terrenecus,Intasivirus,Solspiviridae
Gemygorvirus malas1,Gemygorvirus,Genomoviridae
Pegivirus columbiaense,Pegivirus,Flaviviridae
Pea early-browning virus,Tobravirus,Virgaviridae
Alphafusarivirus plasmoparae,Alphafusarivirus,Fusariviridae
Heverleevirus OLIVR5,Heverleevirus,Pootjesviridae
Duamitovirus scni2,Duamitovirus,Mitoviridae
Carlavirus RoVA,Carlavirus,Betaflexiviridae
Gredihovirus solihabitans,Gredihovirus,Steitzviridae
Tremovirus A,Tremovirus,Picornaviridae
Alphapapillomavirus 5,Alphapapillomavirus,Papillomaviridae
Brussowvirus Sfi11,Brussowvirus,Aliceevansviridae
Streptococcus phage P7631,Moineauvirus,Aliceevansviridae
Cacao swollen shoot virus,Badnavirus,Caulimoviridae
Votkovvirus S28C10,Votkovvirus,Autographiviridae
Gamaleyavirus Sb1,Gamaleyavirus,Schitoviridae
Tomato leaf curl Sri Lanka virus,Begomovirus,Geminiviridae
Pepper huasteco yellow vein virus,Begomovirus,Geminiviridae
Mischivirus D,Mischivirus,Picornaviridae
Badnavirus alphamaculaflavicannae,Badnavirus,Caulimoviridae
Senna severe yellow mosaic virus,Allexivirus,Alphaflexiviridae
Duamitovirus rhso32,Duamitovirus,Mitoviridae
Tangaroavirus NATL2A133,Tangaroavirus,Autographiviridae
Gremmeniella abietina mitochondrial RNA virus S2,Mitovirus,Mitoviridae
Human papillomavirus KC5,Gammapapillomavirus,Papillomaviridae
Buhlduvirus animalis,Buhlduvirus,Suoliviridae
Voulevirus limivivens,Voulevirus,Solspiviridae
Epsilonarterivirus hemcep,Epsilonarterivirus,Arteriviridae
Epseptimavirus 118970sal2,Epseptimavirus,Demerecviridae
Avibirnavirus gumboroense,Avibirnavirus,Birnaviridae
Etahypovirus sclerotii,Etahypovirus,Hypoviridae
Pseudomonas phage O4,Paundecimvirus,Zobellviridae
Hoptevirus orthopteris,Hoptevirus,Xinmoviridae
Allamanda leaf curl virus,Begomovirus,Geminiviridae
Tomato leaf curl Togo betasatellite-[Togo:2006],Betasatellite,Tolecusatellitidae
Varicellovirus equidalpha4,Varicellovirus,Orthoherpesviridae
Tequintavirus SP3,Tequintavirus,Demerecviridae
Phulivirus tegeticola,Phulivirus,Fiersviridae
Bavaria virus,Bavovirus,Caliciviridae
Ociwvivirus luticola,Ociwvivirus,Steitzviridae
Newlavirus,Protoparvovirus,Parvoviridae
Comovirus rugomusivum,Comovirus,Secoviridae
Hohltdevirus edaphocola,Hohltdevirus,Steitzviridae
Hepacivirus glareoli,Hepacivirus,Flaviviridae
Beidivirus muscae,Beidivirus,Phenuiviridae
Mamastrovirus 13,Mamastrovirus,Astroviridae
Tombusvirus melongenae,Tombusvirus,Tombusviridae
Treisdeltapapillomavirus 1,Treisdeltapapillomavirus,Papillomaviridae
Hemphillvirus DK3,Hemphillvirus,Salasmaviridae
Peropuvirus lignarii,Peropuvirus,Artoviridae
Protoparvovirus incertum1,Protoparvovirus,Parvoviridae
Fall chinook aquareovirus,Aquareovirus,Spinareoviridae
Lazarusvirus am101,Lazarusvirus,Straboviridae
Hartmanivirus helvetiae,Hartmanivirus,Arenaviridae
Circovirus gnaver,Circovirus,Circoviridae
Percavirus phocidgamma3,Percavirus,Orthoherpesviridae
Ollusvirus shayangense,Ollusvirus,Aliusviridae
Betabotoulivirus alphaplasmoparae,Betabotoulivirus,Botourmiaviridae
Alphabaculovirus lydisparis,Alphabaculovirus,Baculoviridae
Grapevine virus D,Vitivirus,Betaflexiviridae
Paopuvirus paopu,Paopuvirus,Orlajensenviridae
Cyclovirus peka,Cyclovirus,Circoviridae
Hagravirus HGTV1,Hagravirus,Halomagnusviridae
Nepovirus cucumis,Nepovirus,Secoviridae
Andhevirus chorohabitans,Andhevirus,Atkinsviridae
Arctuvirus edaphohabitans,Arctuvirus,Steitzviridae
Tomato leaf curl China betasatellite,Betasatellite,Tolecusatellitidae
Peternellavirus peternella,Peternellavirus,Winoviridae
Napahaivirus VSW3,Napahaivirus,Autographiviridae
Tequatrovirus fps65,Tequatrovirus,Straboviridae
Bronvirus cicholasnage,Bronvirus,Vilmaviridae
Atlauavirus tusconc8,Atlauavirus,Kyanoviridae
Gammapapillomavirus 7,Gammapapillomavirus,Papillomaviridae
Tlsvirus sazh,Tlsvirus,Drexlerviridae
Lohmavirus borborovivens,Lohmavirus,Fiersviridae
Murine mastadenovirus C,Mastadenovirus,Adenoviridae
Harbinvirus bacchae,Harbinvirus,Herelleviridae
Rosavirus B,Rosavirus,Picornaviridae
Sugarlandvirus sugarland,Sugarlandvirus,Demerecviridae
Molucevirus chthonohabitans,Molucevirus,Steitzviridae
Cytorhabdovirus rosae,Cytorhabdovirus,Rhabdoviridae
Chaetarnavirus 2,Sogarnavirus,Marnaviridae
Gamaleyavirus APEC7,Gamaleyavirus,Schitoviridae
Tofonivirus foami,Tofonivirus,Mesoniviridae
Kirikabuvirus NV3,Kirikabuvirus,Autographiviridae
Atkinsonella hypoxylon virus,Betapartitivirus,Partitiviridae
Alphafusarivirus rhizoctoniae,Alphafusarivirus,Fusariviridae
Phikmvvirus PT5,Phikmvvirus,Autographiviridae
Friunavirus B1,Friunavirus,Autographiviridae
Blafavirus pelovivens,Blafavirus,Fiersviridae
Mosquito densovirus BR/07,Brevidensovirus,Parvoviridae
Weheuvirus chthonovicinum,Weheuvirus,Steitzviridae
Tulanevirus 60ahydrpp,Tulanevirus,Straboviridae
Fudhoevirus lutenecus,Fudhoevirus,Steitzviridae
Sunrhavirus matariya,Sunrhavirus,Rhabdoviridae
Passiflora mottle virus,Potyvirus,Potyviridae
Nepovirus arracaciae,Nepovirus,Secoviridae
Sidiruavirus agrenecus,Sidiruavirus,Steitzviridae
Cypovirus 16,Cypovirus,Spinareoviridae
Grondvirus lorian,Grondvirus,Vilyaviridae
Tomato chlorotic mottle virus,Begomovirus,Geminiviridae
Sednavirus SRIP2,Sednavirus,Autographiviridae
Fusarium poae victorivirus 1,Victorivirus,Totiviridae
Orthobunyavirus kaengkhoiense,Orthobunyavirus,Peribunyaviridae
Clitoria yellow mottle virus,Tobamovirus,Virgaviridae
Tequatrovirus SHBML501,Tequatrovirus,Straboviridae
Agatevirus bobb,Agatevirus,Herelleviridae
Cystovirus phi6,Cystovirus,Cystoviridae
Tequintavirus APCEc03,Tequintavirus,Demerecviridae
Setohruvirus borborocola,Setohruvirus,Steitzviridae
Kayvirus SA12,Kayvirus,Herelleviridae
Beet necrotic yellow vein virus,Benyvirus,Benyviridae
Cherry green ring mottle virus,Robigovirus,Betaflexiviridae
Hacavirus HCTV1,Hacavirus,Druskaviridae
Tlsvirus tv36,Tlsvirus,Drexlerviridae
Tomato leaf curl Hajipur betasatellite,Betasatellite,Tolecusatellitidae
Rehihmevirus terrenecus,Rehihmevirus,Fiersviridae
Kayvirus G1,Kayvirus,Herelleviridae
Rodent hepacivirus,Hepacivirus,Flaviviridae
Betayadokarivirus ichibani,Betayadokarivirus,Yadokariviridae
Betafusarivirus sinensis,Betafusarivirus,Fusariviridae
Sint-Jan onion latent virus,Carlavirus,Betaflexiviridae
Pestivirus tauri,Pestivirus,Flaviviridae
Sigmavirus capitata,Sigmavirus,Rhabdoviridae
Hot pepper alphaendornavirus,Alphaendornavirus,Endornaviridae
Bitter gourd yellow vein virus,Begomovirus,Geminiviridae
Treisepsilonpapillomavirus 1,Treisepsilonpapillomavirus,Papillomaviridae
Tobacco mosqueado virus,Potyvirus,Potyviridae
Sclerotinia homoeocarpa hypovirus 1,Hypovirus,Hypoviridae
Streptococcus phage P7954,Brussowvirus,Aliceevansviridae
Brudgevirus borborovivens,Brudgevirus,Fiersviridae
Malvastrum leaf curl Philippines virus,Begomovirus,Geminiviridae
Mobatvirus lenaense,Mobatvirus,Hantaviridae
Buchavirus faecalis,Buchavirus,Suoliviridae
Betafusarivirus rhizoctoniae,Betafusarivirus,Fusariviridae
Cucumber vein yellowing virus,Ipomovirus,Potyviridae
Psittacine atadenovirus A,Atadenovirus,Adenoviridae
Tomato leaf curl New Delhi virus 2,Begomovirus,Geminiviridae
Circovirus porcine2,Circovirus,Circoviridae
Condavirus arvihabitans,Condavirus,Fiersviridae
Scleroulivirus sigmaplasmoparae,Scleroulivirus,Botourmiaviridae
Tequintavirus AKFV33,Tequintavirus,Demerecviridae
Betarhizoulivirus solani,Betarhizoulivirus,Botourmiaviridae
Playavirus SMHB1,Playavirus,Peduoviridae
Mivirus wuhanense,Mivirus,Chuviridae
Redjacvirus stilesk,Redjacvirus,Casjensviridae
Percavirus felidgamma1,Percavirus,Orthoherpesviridae
Getah virus,Alphavirus,Togaviridae
Bracoviriform marginiventris,Bracoviriform,Polydnaviriformidae
Porcine ephemerovirus 1,Ephemerovirus,Rhabdoviridae
Epsilontorquevirus calli1,Epsilontorquevirus,Anelloviridae
Higashivirus RsoP1IDN,Higashivirus,Autographiviridae
Comovirus viciae,Comovirus,Secoviridae
Ludwigia yellow vein virus-associated DNA beta,Betasatellite,Tolecusatellitidae
Jeilongvirus queenslandense,Jeilongvirus,Paramyxoviridae
Gemykibivirus hydro3,Gemykibivirus,Genomoviridae
Scleroulivirus lambdaplasmoparae,Scleroulivirus,Botourmiaviridae
Quwivirus caviidbeta2,Quwivirus,Orthoherpesviridae
Arrabida virus,Phlebovirus,Phenuiviridae
Isoihlovirus terrihabitans,Isoihlovirus,Atkinsviridae
Citrus variegation virus,Ilarvirus,Bromoviridae
Middelburg virus,Alphavirus,Togaviridae
Jeilongvirus tailamense,Jeilongvirus,Paramyxoviridae
Gredihovirus neochorocola,Gredihovirus,Steitzviridae
Lazuovirus agrenecus,Lazuovirus,Steitzviridae
Diamondback moth iflavirus,Iflavirus,Iflaviridae
Chimpanzee associated porprismacovirus 1,Porprismacovirus,Smacoviridae
Malvastrum yellow mosaic alphasatellite,Colecusatellite,Alphasatellitidae
Luthavirus edaphovivens,Luthavirus,Fiersviridae
Pestivirus antilocaprae,Pestivirus,Flaviviridae
Inbricusvirus inbricus,Inbricusvirus,Schitoviridae
Grapevine virus K,Vitivirus,Betaflexiviridae
Spodoptera litura nucleopolyhedrovirus II,Alphabaculovirus,Baculoviridae
Pepper yellow dwarf virus - Mexico,Curtovirus,Geminiviridae
Apple necrotic mosaic virus,Ilarvirus,Bromoviridae
Nepovirus betae,Nepovirus,Secoviridae
Mimivirus terra2,Mimivirus,Mimiviridae
Phlebovirus campanaense,Phlebovirus,Phenuiviridae
Alphahymrhavirus hirtum,Alphahymrhavirus,Rhabdoviridae
Bocaparvovirus carnivoran2,Bocaparvovirus,Parvoviridae
Hicfunavirus HCF1,Hicfunavirus,Drexlerviridae
Variola virus,Orthopoxvirus,Poxviridae
Armigeres iflavirus,Iflavirus,Iflaviridae
Magnaporthe oryzae polymycovirus 1,Polymycovirus,Polymycoviridae
Vanilla latent virus,Allexivirus,Alphaflexiviridae
Pacinivirus VCO139,Pacinivirus,Schitoviridae
Tequatrovirus sf21,Tequatrovirus,Straboviridae
Reptarenavirus giessenae,Reptarenavirus,Arenaviridae
Alphamesonivirus 11,Alphamesonivirus,Mesoniviridae
Mammarenavirus lunkense,Mammarenavirus,Arenaviridae
Ryegrass mottle virus,Sobemovirus,Solemoviridae
Thogotovirus ozense,Thogotovirus,Orthomyxoviridae
Gremmeniella abietina non-host-specific mitochondrial RNA virus S1,Mitovirus,Mitoviridae
Caulimovirus latensarmoraciae,Caulimovirus,Caulimoviridae
Scleroulivirus zetaplasmoparae,Scleroulivirus,Botourmiaviridae
Nudaurelia capensis beta virus,Betatetravirus,Alphatetraviridae
Weheuvirus chthonocola,Weheuvirus,Steitzviridae
Kratosvirus quantuckense,Kratosvirus,Schizomimiviridae
Apple chlorotic leaf spot virus,Trichovirus,Betaflexiviridae
Pettyvirus petty,Pettyvirus,Autographiviridae
Emcearvirus gerard,Emcearvirus,Kyanoviridae
Pifdecavirus PhiS1,Pifdecavirus,Autographiviridae
Chinook salmon nidovirus 1,Oncotshavirus,Tobaniviridae
Narcissus yellow stripe virus,Potyvirus,Potyviridae
Pelarspovirus jasmini,Pelarspovirus,Tombusviridae
Mucrahivirus geovivens,Mucrahivirus,Fiersviridae
Xitorquevirus molos1,Xitorquevirus,Anelloviridae
Barfin flounder nervous necrosis virus,Betanodavirus,Nodaviridae
Rubodvirus armeniaense,Rubodvirus,Phenuiviridae
Arlivirus arachnae,Arlivirus,Lispiviridae
Orthobunyavirus horizonteense,Orthobunyavirus,Peribunyaviridae
Passion fruit mosaic virus,Tobamovirus,Virgaviridae
Carrot red leaf virus,Polerovirus,Solemoviridae
Mythimna separata entomopoxvirus,Betaentomopoxvirus,Poxviridae
Cytorhabdovirus hordei,Cytorhabdovirus,Rhabdoviridae
Circovirus civet,Circovirus,Circoviridae
Epseptimavirus S147,Epseptimavirus,Demerecviridae
Friunavirus AB1,Friunavirus,Autographiviridae
Orthohantavirus moroense,Orthohantavirus,Hantaviridae
Paramecium bursaria Chlorella virus AR158,Chlorovirus,Phycodnaviridae
Alphapolyomavirus macacae,Alphapolyomavirus,Polyomaviridae
Badnavirus alphacolocalasiae,Badnavirus,Caulimoviridae
Hirvovirus caenivicinum,Hirvovirus,Atkinsviridae
Slopekvirus kp27,Slopekvirus,Straboviridae
Protoparvovirus rodent3,Protoparvovirus,Parvoviridae
Brizovirus rhodeisland01,Brizovirus,Kyanoviridae
Miltonvirus MAM1,Miltonvirus,Ackermannviridae
Feline calicivirus,Vesivirus,Caliciviridae
Gemycircularvirus odona2,Gemycircularvirus,Genomoviridae
Lehptavirus agrihabitans,Lehptavirus,Steitzviridae
Orthobunyavirus leanyerense,Orthobunyavirus,Peribunyaviridae
Melandrium yellow fleck virus,Bromovirus,Bromoviridae
Sugarcane mosaic virus,Potyvirus,Potyviridae
Drulisvirus minorna,Drulisvirus,Autographiviridae
Zeavirus zeae,Zeavirus,Tombusviridae
Psouhdivirus limenecus,Psouhdivirus,Steitzviridae
Soybean yellow common mosaic virus,Sobemovirus,Solemoviridae
Magnaporthe oryzae virus 3,Victorivirus,Totiviridae
Gemsvirus gv5004652,Gemsvirus,Peduoviridae
Lilac leaf chlorosis virus,Ilarvirus,Bromoviridae
Chuvivirus brunnichi,Chuvivirus,Chuviridae
Hartmanivirus haartmani,Hartmanivirus,Arenaviridae
Pehohrivirus asiohabitans,Pehohrivirus,Fiersviridae
Alphacarmovirus dianthi,Alphacarmovirus,Tombusviridae
Loanvirus brunaense,Loanvirus,Hantaviridae
Botrytimonavirus alphabotrytidis,Botrytimonavirus,Mymonaviridae
Dyonupapillomavirus 1,Dyonupapillomavirus,Papillomaviridae
Alphatorquevirus homin21,Alphatorquevirus,Anelloviridae
Alphaportoglobovirus SPV2,Alphaportoglobovirus,Portogloboviridae
Przondovirus K52,Przondovirus,Autographiviridae
Kuttervirus barely,Kuttervirus,Ackermannviridae
Psehatovirus edaphohabitans,Psehatovirus,Fiersviridae
Berlinvirus Kvp1,Berlinvirus,Autographiviridae
Arctuvirus pedocola,Arctuvirus,Steitzviridae
Rosenblumvirus rv44AHJD,Rosenblumvirus,Rountreeviridae
Porcine astrovirus 2,Mamastrovirus,Astroviridae
Betabaculovirus habrilliantis,Betabaculovirus,Baculoviridae
Martavirus lutenecus,Martavirus,Fiersviridae
Imeberivirus luticola,Imeberivirus,Fiersviridae
Diciambidensovirus hemipteran1,Diciambidensovirus,Parvoviridae
Arracacha mottle virus,Potyvirus,Potyviridae
Tomato mottle mosaic virus,Tobamovirus,Virgaviridae
Epseptimavirus ev119,Epseptimavirus,Demerecviridae
Escherichia phage SKA49,Carltongylesvirus,Chaseviridae
Cymbidium chlorotic mosaic virus,Sobemovirus,Solemoviridae
Pollyceevirus pollyC,Pollyceevirus,Autographiviridae
Hohrdovirus pedovicinum,Hohrdovirus,Steitzviridae
Palsdevirus asienecus,Palsdevirus,Fiersviridae
Kieseladnavirus ampcren,Kieseladnavirus,Bacilladnaviridae
Duck aviadenovirus B,Aviadenovirus,Adenoviridae
Gredihovirus geohabitans,Gredihovirus,Steitzviridae
Avisivirus B,Avisivirus,Picornaviridae
Mischivirus A,Mischivirus,Picornaviridae
Orthohantavirus robinaense,Orthohantavirus,Hantaviridae
Aquambidensovirus asteroid1,Aquambidensovirus,Parvoviridae
Chicken astrovirus,Avastrovirus,Astroviridae
Rajidapivirus A,Rajidapivirus,Picornaviridae
Orinovirus pasiphilae,Orinovirus,Nyamiviridae
Alphatorquevirus homin6,Alphatorquevirus,Anelloviridae
Vimunumvirus ST147VIM1phi71,Vimunumvirus,Peduoviridae
Tobacco curly shoot betasatellite,Betasatellite,Tolecusatellitidae
Betabotoulivirus gammaplasmoparae,Betabotoulivirus,Botourmiaviridae
Kudzu mosaic virus,Begomovirus,Geminiviridae
Chosvirus KM23C739,Chosvirus,Autographiviridae
Epseptimavirus atrejo,Epseptimavirus,Demerecviridae
Simian mastadenovirus F,Mastadenovirus,Adenoviridae
Hanrivervirus aalborv,Hanrivervirus,Drexlerviridae
Sweet potato golden vein associated virus,Begomovirus,Geminiviridae
