Species,Genus,Family
Platycodon mild mottle virus,Potyvirus,Potyviridae
Murciavirus CPP1m,Murciavirus,Autographiviridae
Alphachrysovirus isariae,Alphachrysovirus,Chrysoviridae
Tobacco leaf curl Dominican Republic virus,Begomovirus,Geminiviridae
Orthonairovirus australiaense,Orthonairovirus,Nairoviridae
Nampongvirus ST79,Nampongvirus,Peduoviridae
Bracoviriform indiense,Bracoviriform,Polydnaviriformidae
Kochikohdavirus EFLK1,Kochikohdavirus,Herelleviridae
Orthoflavivirus careyense,Orthoflavivirus,Flaviviridae
Lymphocryptovirus macacinegamma10,Lymphocryptovirus,Orthoherpesviridae
Tunavirus Sfin1,Tunavirus,Drexlerviridae
Equine encephalosis virus,Orbivirus,Sedoreoviridae
Alphanecrovirus oleae,Alphanecrovirus,Tombusviridae
Epizootic haematopoietic necrosis virus,Ranavirus,Iridoviridae
Dunedinvirus JS26,Dunedinvirus,Casjensviridae
Spider monkey simian foamy virus,Simiispumavirus,Retroviridae
Pitaya virus X,Potexvirus,Alphaflexiviridae
Iflavirus brebrassicae,Iflavirus,Iflaviridae
Kuttervirus STML131,Kuttervirus,Ackermannviridae
Weheuvirus chthonohabitans,Weheuvirus,Steitzviridae
Mucrahivirus borboradaptatum,Mucrahivirus,Fiersviridae
Gemyduguivirus austo1,Gemyduguivirus,Genomoviridae
Tomato yellow leaf distortion deltasatellite 1,Deltasatellite,Tolecusatellitidae
Simplexvirus humanalpha2,Simplexvirus,Orthoherpesviridae
Tunavirus IME18,Tunavirus,Drexlerviridae
Asclepias asymptomatic virus,Tymovirus,Tymoviridae
Salchichonvirus LP65,Salchichonvirus,Herelleviridae
Streptococcus phage P9901,Moineauvirus,Aliceevansviridae
Colletotrichum camelliae polymycovirus 1,Polymycovirus,Polymycoviridae
Kaohsiungvirus A318,Kaohsiungvirus,Autographiviridae
Bocaparvovirus ungulate2,Bocaparvovirus,Parvoviridae
Hop latent viroid,Cocadviroid,Pospiviroidae
Currant virus A,Capillovirus,Betaflexiviridae
Abatino macacapox virus,Orthopoxvirus,Poxviridae
Bamboo mosaic virus,Potexvirus,Alphaflexiviridae
Bermuda grass latent virus,Panicovirus,Tombusviridae
